ID,lat,lon,area
1080,43.2283,-2.0263,765
1103,43.2295,-2.4010,456
1105,43.2436,-1.9415,215
1106,43.2950,-1.7297,681
1109,43.2669,-2.2343,304
1163,43.2117,-2.7549,251
1265,43.1617,-4.6123,290
1268,43.3171,-4.6072,643
1295,43.3506,-5.1321,486
1302,43.3670,-5.1846,486
1343,43.4181,-5.8931,314
1353,43.1931,-6.5458,531
1363,43.1201,-5.8165,232
1365,43.1673,-5.7309,265
1369,43.2834,-5.8759,893
1378,43.3883,-6.0665,210
1395,43.5017,-6.4363,411
1404,43.0555,-6.8754,294
1414,43.5285,-6.8765,123
1424,43.1796,-7.1992,346
1427,43.4134,-7.1440,712
2000,41.9113,-2.7576,126
2005,41.5755,-3.0838,900
2012,41.3007,-3.7377,480
2013,41.6540,-3.6806,7356
2015,41.5649,-4.6664,12740
2016,41.1673,-3.8547,280
2017,41.5079,-3.1031,6398
2025,41.7007,-4.4811,870
2026,42.4233,-4.4186,623
2028,42.0343,-3.2777,349
2029,42.1305,-4.2496,4227
2030,42.0539,-3.5087,1200
2031,42.0789,-4.0794,2413
2036,42.0560,-4.2405,5256
2041,42.3223,-4.5239,312
2043,41.7411,-4.6393,14283
2046,40.6498,-4.7072,770
2047,40.7170,-4.5392,140
2049,41.8297,-3.7905,271
2050,40.9506,-4.1478,252
2053,41.1558,-4.3448,1438
2054,41.5041,-4.9306,36570
2055,40.7731,-4.2424,173
2056,41.4904,-4.7700,5202
2057,41.1132,-4.1244,172
2060,42.2485,-5.8292,3192
2061,42.5056,-5.8783,1554
2062,41.5151,-5.4128,41808
2074,41.9743,-5.6366,6783
2081,40.5033,-5.5300,1620
2082,42.0578,-5.7610,650
2089,42.2226,-6.2524,280
2095,41.8722,-5.7655,14263
2098,42.9350,-5.6577,132
2101,41.8888,-2.7859,135
2104,42.6134,-5.0387,355
2105,42.2157,-5.0966,283
2113,42.0362,-6.2667,391
2114,41.2104,-4.5317,1070
2115,42.5937,-5.5785,620
2116,42.2552,-3.9280,1702
2121,41.5119,-5.7224,46137
2125,42.4233,-3.6826,281
2126,41.7723,-5.4985,1462
2131,42.7631,-4.2480,371
2132,41.6284,-4.3615,12093
2138,42.7682,-5.9566,276
2139,42.3482,-3.7372,680
2141,42.0650,-3.3277,288
2143,42.1703,-5.2706,1546
2144,42.0547,-6.6328,410
2145,42.0383,-5.7405,4959
2147,42.7090,-5.3774,285
2150,42.8235,-5.5079,222
2156,42.4000,-5.9524,781
2163,41.4996,-2.5103,2959
2711,42.3667,-5.5649,3980
2712,40.9133,-5.3639,439
2713,42.3092,-5.9267,290
2714,41.2908,-4.1524,631
2716,41.9983,-6.0181,257
2717,41.9481,-5.8494,186
2818,41.8486,-7.4353,719
9002,42.1801,-1.6947,25194
9003,42.3741,-1.9489,1445
9004,42.3148,-1.8012,2759
9011,41.6586,-0.8811,40434
9020,42.4468,1.9088,153
9021,42.4236,1.9332,311
9023,42.3524,1.4598,1233
9030,40.7397,-0.3684,1002
9033,41.9127,-0.1254,765
9038,42.4983,-2.6841,1090
9040,42.4362,0.0783,626
9041,40.9302,-1.2598,364
9044,42.1047,-2.3322,223
9051,42.4780,0.1503,835
9061,42.5768,-0.7545,348
9062,42.6558,-0.7861,161
9063,42.6450,-1.0122,506
9064,42.7142,-1.1603,396
9067,42.8906,-1.6066,240
9068,42.8300,-1.7873,782
9069,42.7908,-1.7899,1756
9070,42.6918,-2.0486,309
9071,42.6712,-2.0359,943
9073,42.5519,-1.2553,275
9074,42.6774,-2.8968,1357
9075,42.6807,-2.8841,307
9079,42.7704,-1.4067,180
9088,40.6262,-0.5998,279
9089,41.6693,-0.8419,4008
9092,42.8024,-3.4017,1093
9093,42.7353,-3.4140,1051
9095,42.0290,0.1318,345
9120,42.4157,-2.2055,12010
9139,42.0745,-2.0113,326
9158,42.3863,-3.2132,192
9159,42.8520,-1.5837,178
9165,42.6890,-2.9280,318
9166,42.8081,-3.3573,290
9170,42.6097,-0.9987,1471
9177,41.1064,0.2096,335
9184,41.3343,-1.7902,446
9187,42.1162,-0.9461,336
9188,42.7837,-3.0447,350
9189,42.6706,-2.9794,217
9197,42.3303,-2.4078,283
9203,42.9883,-4.1478,142
9215,41.2158,-1.2128,315
9252,42.5512,1.1553,444
9254,42.9302,-3.4803,465
9256,42.3726,1.8142,697
9261,41.6413,-1.6403,123
9263,41.3981,-0.4762,47133
9265,42.5177,1.2332,410
9270,42.7976,-1.6668,224
9271,42.7198,-0.5252,101
9279,42.7744,-3.7676,497
9281,42.5790,-2.8773,1239
9282,42.5915,-0.8829,1083
9283,42.9466,-3.5733,262
9284,42.0671,-1.6004,2534
9287,41.5411,-1.9223,151
9291,42.0831,-0.9281,109
9317,42.8732,-2.6765,805
9321,42.9131,-1.8468,389
9322,42.9196,-1.8371,184
9323,42.8171,-1.6358,503
9324,42.8145,-1.7264,806
9327,42.4833,-1.6407,257
9328,42.6819,-2.2846,415
1431,43.4766,-7.3357,145
1433,43.5570,-7.3777,163
1438,43.6183,-7.5914,198
1441,43.7024,-7.6945,185
1443,43.6394,-7.9089,102
1464,43.2483,-8.0563,248
1485,43.2277,-8.8868,438
1512,42.9962,-8.8897,201
1520,42.9754,-8.4002,561
1522,42.9909,-8.4557,311
1540,42.8304,-8.6485,138
1542,42.8581,-8.0205,150
1544,42.8468,-8.0254,516
1546,42.7779,-8.1020,328
1552,42.7771,-8.3376,545
1578,42.4521,-8.6142,408
1585,42.3902,-8.5002,103
5045,37.1750,-4.1667,4210
5050,37.1543,-3.4345,163
5056,37.5238,-6.1896,240
5083,37.7843,-3.7454,775
5107,38.0302,-4.1407,498
5123,37.6621,-5.3555,370
5136,38.0242,-3.1048,185
5138,38.6593,-4.0191,228
5141,38.0406,-4.4288,407
5142,37.8758,-4.2142,670
5145,37.8534,-5.7331,297
4255,38.9153,-6.9580,2165
8018,39.8403,-1.1462,4052
8028,40.6144,-0.9757,478
8029,38.8917,-0.4954,320
8060,39.4783,-1.1166,668
8087,39.8183,-2.3449,187
8090,39.9403,-1.7111,829
8091,39.8522,-2.2882,1793
8103,40.1157,-1.2582,3094
8104,40.1081,-1.2886,241
8118,39.7379,-2.1975,257
8120,39.7186,-0.9554,430
8126,40.2220,-1.8482,250
8134,40.1157,-0.6058,1396
8149,40.3940,-1.2906,736
1605,43.1680,-7.5479,754
1619,43.1486,-7.6901,843
1620,43.0668,-7.6466,192
1622,43.0247,-7.5876,2210
1624,42.8719,-7.5275,831
1638,42.4367,-8.0814,133
1647,42.0665,-8.6362,150
1659,42.2517,-8.1374,739
1715,42.6849,-6.2925,106
1721,42.5998,-6.7270,544
1723,42.7577,-6.6483,216
1725,42.7080,-6.7791,118
1726,42.6059,-6.8172,434
1728,42.5086,-6.8239,3100
1729,42.5335,-6.9566,113
1734,42.4147,-6.8104,558
1753,42.4620,-7.3472,369
1765,42.5551,-7.4784,353
1823,42.1042,-8.5068,400
1824,42.8846,-7.7056,166
1829,42.2012,-7.9701,533
3001,40.5941,-1.9320,410
3005,40.6962,-2.5859,3253
3012,39.8851,-4.1827,27159
3014,39.9216,-3.8712,23065
3030,40.8292,-1.9652,944
3040,40.4964,-2.0309,116
3045,40.4437,-2.3113,345
3049,41.0530,-3.3309,143
3051,40.5870,-3.5665,2448
3052,40.3952,-3.5094,7005
3062,40.4599,-3.4215,4031
3100,40.6282,-4.0058,234
3103,40.2197,-3.9455,962
3144,40.1705,-6.1033,386
3146,40.1113,-5.9458,313
3161,40.1514,-5.0456,730
3163,39.8150,-6.9836,887
3165,41.1349,-3.1940,284
3168,39.6634,-5.9596,787
3169,39.5742,-6.9973,2058
3174,40.1368,-3.5808,8890
3175,40.0841,-3.6086,11549
3180,40.4113,-4.3225,629
3182,40.5021,-5.9465,426
3184,39.9330,-5.9048,4090
3186,40.4246,-2.3262,361
3193,40.4693,-3.4202,252
3198,40.3698,-4.1366,261
3200,40.4245,-6.0142,239
3211,39.7710,-4.5670,140
3212,39.9184,-4.5819,423
3213,39.7721,-4.8470,196
3217,40.4262,-5.8938,177
3218,40.4852,-6.0066,101
3220,39.5007,-6.1160,457
3221,39.7716,-5.5197,266
3222,39.7607,-5.4196,184
3231,40.4076,-4.7044,698
3234,40.0059,-5.7138,224
3235,40.3836,-6.1898,109
3242,40.3028,-6.2645,188
3244,39.7239,-5.5842,120
3246,39.3344,-6.4877,252
3250,39.4574,-5.9259,231
3253,39.5729,-6.9930,208
3256,39.7414,-5.0582,377
3261,40.0568,-5.4364,395
3268,40.6798,-1.9661,206
3269,40.6346,-2.6513,105
3276,39.8031,-6.0253,158
3278,39.4664,-7.2067,169
3279,39.6057,-5.9100,260
